"Date","AQS_SITE_ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CSA_CODE","CSA_NAME","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/13/1982","17-031-0037","1","1.90000","ppm","22.00","18","75.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/14/1982","17-031-0037","1","1.10000","ppm","13.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/15/1982","17-031-0037","1","1.90000","ppm","22.00","20","83.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/16/1982","17-031-0037","1","1.60000","ppm","18.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/17/1982","17-031-0037","1","1.20000","ppm","14.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/18/1982","17-031-0037","1","1.80000","ppm","20.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/19/1982","17-031-0037","1","1.50000","ppm","17.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/20/1982","17-031-0037","1","2.80000","ppm","32.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/21/1982","17-031-0037","1","3.10000","ppm","35.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/22/1982","17-031-0037","1","2.40000","ppm","27.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/23/1982","17-031-0037","1","2.90000","ppm","33.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/24/1982","17-031-0037","1","1.00000","ppm","11.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/28/1982","17-031-0037","1","1.40000","ppm","16.00","19","79.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/29/1982","17-031-0037","1","2.40000","ppm","27.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/30/1982","17-031-0037","1","1.70000","ppm","19.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/31/1982","17-031-0037","1","1.20000","ppm","14.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/01/1982","17-031-0037","1","2.00000","ppm","23.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/04/1982","17-031-0037","1","1.50000","ppm","17.00","18","75.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/05/1982","17-031-0037","1","1.40000","ppm","16.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/07/1982","17-031-0037","1","1.90000","ppm","22.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/13/1982","17-031-0037","1","1.60000","ppm","18.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/14/1982","17-031-0037","1","1.70000","ppm","19.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/15/1982","17-031-0037","1","2.50000","ppm","28.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/16/1982","17-031-0037","1","2.20000","ppm","25.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/17/1982","17-031-0037","1","1.70000","ppm","19.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/18/1982","17-031-0037","1","1.00000","ppm","11.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/19/1982","17-031-0037","1","1.20000","ppm","14.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/20/1982","17-031-0037","1","1.20000","ppm","14.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/21/1982","17-031-0037","1","3.10000","ppm","35.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/22/1982","17-031-0037","1","3.40000","ppm","39.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"04/23/1982","17-031-0037","1","1.80000","ppm","20.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
