Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Lat,Long,Type
Z005051,4/17/74,10,15,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005052,6/25/74,10,24.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005053,7/17/74,10,23.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005054,8/13/74,10,28.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005055,9/17/74,10,24.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005056,10/23/74,10,13.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005057,11/12/74,10,8.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005058,12/3/74,10,2.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005060,2/13/75,10,7.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005061,3/24/75,10,16.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005062,4/1/75,10,17.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005063,5/7/75,10,23,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005064,6/12/75,10,30,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005065,7/9/75,10,40,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005066,8/6/75,10,34,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005067,9/10/75,10,32,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005068,10/16/75,10,17.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005069,11/17/75,10,19,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005070,12/2/75,10,8.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005072,2/25/76,10,16,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005073,3/24/76,10,13,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005074,4/7/76,10,15.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005075,5/4/76,10,25,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005076,6/16/76,10,21.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005077,7/13/76,10,25,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005078,8/3/76,10,25,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005079,9/13/76,10,21,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005080,11/2/76,10,18,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005082,5/26/77,10,19,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005086,5/1/78,10,8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005087,7/26/78,10,31,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005088,10/3/78,10,24,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005090,6/7/79,10,23.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005091,7/11/79,10,26.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005092,8/7/79,10,27,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005094,9/12/79,10,22.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005095,10/4/79,10,15.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005096,11/7/79,10,13.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005097,12/4/79,10,12.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005099,2/5/80,10,5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005100,3/13/80,10,15.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005101,4/24/80,10,16.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005102,8/15/80,10,26.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005103,12/3/80,10,11.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005105,5/6/81,10,25.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005106,8/18/81,10,28.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005107,10/29/81,10,11,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005109,4/14/82,10,17.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005110,8/11/82,10,21,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005111,11/16/82,10,2.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005113,5/26/83,10,17.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005114,8/24/83,10,33.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005115,11/15/83,10,13.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005117,5/23/84,10,27.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005118,8/20/84,10,30.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005119,11/12/84,10,13.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005121,5/8/85,10,26,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005122,8/21/85,10,27.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005123,11/25/85,10,11,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005125,4/23/86,10,24.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005126,7/10/86,10,25.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005127,11/6/86,10,12.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005129,5/28/87,10,18.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005130,8/5/87,10,26,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005131,11/19/87,10,11.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005133,5/5/88,10,15,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005134,8/22/88,10,31.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005135,12/19/88,10,9.01,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005140,7/17/90,10,30.12,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005141,7/17/90,10,28.43,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005142,7/17/90,10,26.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005143,7/17/90,10,24.71,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005144,7/17/90,10,23.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005145,7/18/90,10,22.43,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005146,7/18/90,10,21.67,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005147,7/18/90,10,21.08,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005148,7/18/90,10,20.57,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005149,7/18/90,10,20.11,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005150,7/18/90,10,19.77,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005151,7/18/90,10,19.51,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005152,7/18/90,10,19.18,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005153,7/18/90,10,18.88,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005154,7/18/90,10,19.18,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005155,7/18/90,10,20.11,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005156,7/18/90,10,21.29,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005157,7/18/90,10,23.32,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005158,7/18/90,10,26.02,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005159,7/18/90,10,29.02,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005160,7/18/90,10,31.43,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005161,7/18/90,10,32.02,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005163,7/18/90,10,32.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005137,7/25/90,10,30.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R010036,8/24/93,10,22.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R010057,10/28/93,10,12.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R010069,1/24/94,10,8.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R161066,4/19/94,10,18.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R161143,8/10/94,10,28.83,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R168060,10/11/94,10,13.64,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R168098,2/22/95,10,15.79,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R168323,5/11/95,10,22.09,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R168385,8/8/95,10,28.97,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R168465,11/28/95,10,4.76,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R168514,1/24/96,10,2.99,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R170253,4/24/96,10,15.07,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R171049,7/16/96,10,27.35,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R172467,10/8/96,10,18.82,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R172479,12/10/96,10,8.14,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R173967,5/21/97,10,17.82,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R176007,7/28/97,10,24.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R176660,11/4/97,10,12.11,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR10050,12/11/97,10,3.02,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
R176932,1/12/98,10,2.61,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR10062,1/27/98,10,7.67,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
