,DeviceID,created,lastEdited,uploaded,pot_img,loc_lat,loc_lon,loc_alt,loc_acc,loc_provider,loc_bearing,notes,Beta_key,Pothole Area (ft^2),Unnamed: 14,From John 8-27-15 from old form,Unnamed: 16,Surveyor,address
35,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84237244,-87.70986655,148.0,7.0,gps,,,6632c072-87b8-4e45-b7d2-ae8e99f31e20,,,False,,John,2706 S Homan Ave
36,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84241412,-87.70959148,136.0,17.0,gps,,,aee3ca89-4a88-4d77-9c4f-cf34df9b4389,,,False,,John,2703 S Homan Ave
37,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.8423424,-87.70984123,146.0,6.0,gps,,,ec39ed0f-f642-44b7-8fed-0fdbfb531cd2,,,False,,John,2706-2708 S Homan Ave
38,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84230603,-87.70984142,139.0,7.0,gps,,,86590e20-80e0-4861-be82-8cb52c6f5c02,,,False,,John,2706-2708 S Homan Ave
39,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84194906,-87.70967119,152.0,4.0,gps,,Road damage,35890d76-db6c-420a-87f7-f85f0b32a413,,,False,,John,2721 S Homan Ave
40,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_28293e27-ff76-4f09-8739-971b5f2095d8.jpg,41.8419838,-87.7098333,,39.0,network,,,97bf1dc1-56aa-41ec-ab93-583e0717879b,,,False,,John,2718 S Homan Ave
41,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84149373,-87.70987408,135.0,3.0,gps,,,203265f3-2a3b-4793-9f13-a6f747911c62,,,False,,John,2738 S Homan Ave
42,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.841459,-87.70983251,144.0,8.0,gps,,,cb2cfa90-7fb5-4a09-8c9f-9029fd87174b,,,False,,John,2738 S Homan Ave
43,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84144777,-87.70980676,145.0,9.0,gps,,,5364891d-edc3-4f02-ab49-97179241f31e,,,False,,John,2739 S Homan Ave
44,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84139555,-87.70981141,145.0,7.0,gps,,,954188b9-5fee-44f9-98d8-7f8d122816c4,,,False,,John,2740-2742 S Homan Ave
45,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_860cc9ed-5b35-4415-9041-7a0fcba2c18a.jpg,41.84126598,-87.70981423,147.0,5.0,gps,,,410fa6dc-c8c8-4f3b-8a25-e3cbfb48c3ac,,,False,,John,2746 S Homan Ave
46,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_dbd5ef64-6c1b-4ec3-96f6-b8d46cc978a4.jpg,41.8413392,-87.7098499,,26.49699974,network,,,d4f21af6-f076-4d95-b785-4262f0671aef,,,False,,John,2742 S Homan Ave
47,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_50014aa9-1ff7-43c5-ae93-0cafed2915bf.jpg,41.8412137,-87.70981294,145.0,15.0,gps,,,840cb86b-d6da-430d-8a51-936c34eb9099,,,False,,John,2748 S Homan Ave
48,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84120724,-87.70980142,138.0,5.0,gps,,,4d6827d7-273d-4a86-8814-d81b6a9f7ab2,,,False,,John,2746-2748 S Homan Ave
49,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84115831,-87.70979589,147.0,10.0,gps,,,a99d1d3f-28f3-449d-a6d3-cefb2de94620,,,False,,John,2751 S Homan Ave
50,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84116319,-87.70981489,150.0,4.0,gps,,,a15ef8a5-008b-4776-a671-e1c7d07dd9b1,,,False,,John,2748 S Homan Ave
51,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_a8d8efd1-c9a9-4c7c-9029-d3902c9284b6.jpg,41.8413224,-87.7098453,,28.05400085,network,,,7ac776ae-d74b-4940-a5a4-51237dbb0e44,,,False,,John,2742 S Homan Ave
52,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84119549,-87.70979559,149.0,3.0,gps,,,70ed1d6e-20f8-45eb-bef4-6672858367ec,,,False,,John,2749 S Homan Ave
53,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.8407674,-87.70972524,121.0,10.0,gps,167.6999969,,31aa4289-df2f-437a-8ef1-082f87ac4162,,,False,,John,3331-3399 W 28th St
54,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84106049,-87.70978932,148.0,6.0,gps,,,9ae8326e-f535-4759-bb70-3683238696e4,,,False,,John,2753 S Homan Ave
55,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_1673b14b-c7d6-456e-9ef6-70c0d02ccbc0.jpg,41.8412857,-87.7098419,,31.3029995,network,,,cd4ac55d-7c9e-450e-9cca-b870063a640c,,,False,,John,2746 S Homan Ave
56,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_1673b14b-c7d6-456e-9ef6-70c0d02ccbc0.jpg,41.8410851,-87.7099149,,36.37799835,network,,,08c4e040-cc41-4106-8e53-b676b85f3483,,,False,,John,2752 S Homan Ave
57,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_1673b14b-c7d6-456e-9ef6-70c0d02ccbc0.jpg,41.84083587,-87.70979977,148.0,5.0,gps,,,fd7a5c86-af3e-49ba-a12e-fb101a6da2a3,,,False,,John,2758-2798 S Homan Ave
58,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84057285,-87.70979473,147.0,8.0,gps,,,18bd3201-8040-42fd-933f-098675e2b9c5,,,False,,John,2802-2806 S Homan Ave
59,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_03175161-006a-40e3-a84b-7a0d6c546b39.jpg,41.84055902,-87.70977644,146.0,8.0,gps,,,ee4bac04-1bf6-4cd4-a4b7-13e402788867,,,False,,John,2807 S Homan Ave
60,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84054123,-87.70978355,149.0,20.0,gps,,,94cba233-2033-4ae8-88b0-37aab6e2c272,,,False,,John,2802-2806 S Homan Ave
61,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_993d79de-ec2d-4844-b5b6-bad29d746ba7.jpg,41.8405318,-87.7098788,,34.5,network,,,e763e764-3efe-4336-8a02-db5e363f1c9a,,,False,,John,2806 S Homan Ave
62,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.84049632,-87.70978766,149.0,5.0,gps,,,2c53377c-84db-468c-9e5d-81b629ff3fb0,,,False,,John,2806-2808 S Homan Ave
63,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_dc54a0fc-4b0b-4b72-8b42-4637b9e7eb6c.jpg,41.84041479,-87.70979139,151.0,15.0,gps,,,578b6760-a25c-409d-a344-6b854721ba4a,,,False,,John,2808-2810 S Homan Ave
64,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.840127,-87.7097684,,24.37000084,network,,,8a4b613d-2ff3-4689-8665-07dd26ba8f77,,,False,,John,2821 S Homan Ave
65,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.84008181,-87.70975887,148.0,7.0,gps,,,4166cf34-c866-49a0-8687-eaf3f7bbcbb0,,,False,,John,2825 S Homan Ave
66,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.84002266,-87.70975635,149.0,5.0,gps,,,e58b1acb-a99e-4b8e-94e6-5e56daeb2814,,,False,,John,2825 S Homan Ave
67,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.84002997,-87.70975946,148.0,23.0,gps,,,c963b5b9-2ad4-42cc-8590-00d588e3870d,,,False,,John,2825 S Homan Ave
68,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.83999723,-87.70977215,144.0,13.0,gps,,,f5ed98be-2127-4f8d-8799-e5de096b1b29,,,False,,John,2822-2826 S Homan Ave
69,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_8129c37e-8fdb-44c9-95be-e8e2dde98bc7.jpg,41.84000342,-87.70976262,144.0,11.0,gps,,,a5d5861b-a259-472c-a870-e918e1a9a342,,,False,,John,2827 S Homan Ave
70,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.83997598,-87.70975822,143.0,31.0,gps,,,1baa2ff5-37bb-4b48-9b22-3b412a6f5fa2,,,False,,John,2827 S Homan Ave
71,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.83981052,-87.70978656,141.0,11.0,gps,,,8ae612d7-af08-4395-b6bc-b34a0b39a57e,,,False,,John,2832 S Homan Ave
72,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.83974296,-87.70975183,144.0,5.0,gps,,Road damage,76900843-1913-47d2-b053-2d61e88715d6,,,False,,John,2837 S Homan Ave
73,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.83967265,-87.70976785,143.0,20.0,gps,,,a1191e6e-856b-4dc4-849f-d26bfa33d8d7,,,False,,John,2836-2838 S Homan Ave
74,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.83954691,-87.70978313,147.0,6.0,gps,,,ceeb12dc-0055-4fbf-9d80-33bae37e4284,,,False,,John,2840 S Homan Ave
75,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.8395427,-87.7095969,143.0,10.0,gps,,,7f00e912-b9aa-4ed2-a07b-4a3173f996c8,,,False,,John,2841 S Homan Ave
76,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.8394967,-87.7098072,,30.0,network,,,de52bda3-f833-4dc0-a37a-01629c77ce63,,,False,,John,2842 S Homan Ave
77,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.83938174,-87.70977862,147.0,6.0,gps,,Road damage,797d9942-5271-4258-9d9b-dfc8f581da32,,,False,,John,2848 S Homan Ave
78,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.83926328,-87.70975332,145.0,3.0,gps,,,ac9da605-5565-4fb1-aa28-0ee5a3bcbe46,,,False,,John,2850-2854 S Homan Ave
79,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,,41.83926831,-87.7097513,146.0,5.0,gps,,,d2c9cedf-7d08-4061-bb1d-ffc77a448f3d,,,False,,John,2850-2854 S Homan Ave
80,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_5b004557-3240-4812-8f00-c76e272f2a54.jpg,41.83920039,-87.70969236,147.0,3.0,gps,,,3ee59a14-c928-4e11-81c4-e15d676e7b73,,,False,,John,2853 S Homan Ave
81,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_3b96ebd1-5977-4cbd-8717-05b3124da471.jpg,41.83912665,-87.70976352,152.0,16.0,gps,,2 for 1,e6391447-e52b-4f25-9b75-f906d36ae45c,,,False,,John,2856 S Homan Ave
82,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_c216b1fe-eda9-4813-8f1f-9341676de589.jpg,41.8392652,-87.7097864,,29.78499985,network,,,b2c604f0-17a9-4802-a302-ab9690549d8f,,,False,,John,2854 S Homan Ave
83,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_747aadec-5d0f-416e-8d92-7ac7e4a66741.jpg,41.84085446,-87.71294623,115.0,12.0,gps,8.199999809,,535a683a-0f09-49df-be73-bab92bc32352,,,False,,John,3500-3528 W 28th St
84,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_c9483668-1785-4cb1-a419-ca5e69813ad5.jpg,41.84075698,-87.71430964,145.0,10.0,gps,,,c2f83809-ce14-4a56-994e-6c721d86474a,,,False,,John,3530-3598 W 28th St
85,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_8e945857-310c-4374-948a-017ce6f4e584.jpg,41.8405819,-87.71515683,154.0,15.0,gps,163.1999969,,e34aa579-72d8-4446-8523-63b107257a56,,,False,,John,2800 S Central Park Ave
86,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_96cbcb69-a4eb-4cc6-bc4f-84342779d5ff.jpg,41.8420496,-87.716022,,30.0,network,,,d6c2de32-c0c9-4b01-a536-92b684ea06bb,,,False,,John,2712 S Millard Ave
87,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_4b5146b7-de16-49fd-b5f6-0e08ad99dc54.jpg,41.84452976,-87.73104081,138.0,6.0,gps,,,85a822f3-db1e-4a61-9bda-ead483b3014a,,,False,,John,2531-2599 S Kildare Ave
88,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_9a02f0b2-3b63-44ea-bef5-f771b91c26fa.jpg,41.84457115,-87.73104167,144.0,5.0,gps,,,bb867fee-adcf-4f2b-8465-792db2844694,,,False,,John,2531-2599 S Kildare Ave
89,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_7dbe4008-5bb9-4bdb-b743-32497d65f8ba.jpg,41.8443955,-87.7310383,,58.5,network,,,5ddb9f0e-869c-446b-9325-eec581718838,,,False,,John,2531-2599 S Kildare Ave
90,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:47:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_b41c8897-f7ef-48a8-a6f5-daeda8d73f66.jpg,41.84599494,-87.73070381,143.0,6.0,gps,,,9ffb938c-d318-4396-ac84-5b5e99e6219f,,,False,,John,4234 W 25th St
