0016063|08/20/1996|31613|<|10||||
0016063|08/20/1996|32211||5.99||||
0016063|08/20/1996|32218||0||||
0016063|08/20/1996|70300||48900||||Y
0016063|08/20/1996|70507||0.04||||
0537974|08/20/1996|00010||30.5||||
0537974|08/20/1996|00094||49100||||
0537974|08/20/1996|00300||5.7||||
0537974|08/20/1996|00400||7.9||||
0537974|08/20/1996|00480||32.2||||
0537975|08/20/1996|00010||30.5||||
0537975|08/20/1996|00094||49100||||
0537975|08/20/1996|00300||5.8||||
0537975|08/20/1996|00400||7.9||||
0537975|08/20/1996|00480||32.2||||
0537976|08/20/1996|00010||30.5||||
0537976|08/20/1996|00094||49100||||
0537976|08/20/1996|00300||5.8||||
0537976|08/20/1996|00400||7.9||||
0537976|08/20/1996|00480||32.2||||
0537977|08/20/1996|00010||30.5||||
0537977|08/20/1996|00094||49100||||
0537977|08/20/1996|00300||5.8||||
0537977|08/20/1996|00400||7.9||||
0537977|08/20/1996|00480||32.2||||
R171412|08/20/1996|00010||30.5||||
R171412|08/20/1996|00078||0.88||||
R171412|08/20/1996|00094||49100||||
R171412|08/20/1996|00300||5.7||||
R171412|08/20/1996|00400||7.9||||
R171412|08/20/1996|00480||32.2||||
H037883|08/28/1996|00010||28.889||||
H037883|08/28/1996|00480||22||||
H037883|08/28/1996|79835||2||||
H041241|11/18/1996|00010||22.778||||
H041241|11/18/1996|00480||28.3||||
H041241|11/18/1996|79835||2||||
0016918|11/26/1996|00410||68||||
0016918|11/26/1996|00530||56||||
0016918|11/26/1996|00535||10||||
0016918|11/26/1996|00610||0.08||||
0016918|11/26/1996|00625||0.77||||
0016918|11/26/1996|00630||0.07||||
0016918|11/26/1996|00665||0.09||||
0016918|11/26/1996|00680|<|1||||
0016918|11/26/1996|00940||6520||||
0016918|11/26/1996|00945||806||||
0016918|11/26/1996|32211||6.33||||
0016918|11/26/1996|32218||0||||
0016918|11/26/1996|70300||6130||||
0016918|11/26/1996|70507||0.04||||
0550421|11/26/1996|00010||13.4||||
0550421|11/26/1996|00094||19360||||
0550421|11/26/1996|00300||8.5||||
0550421|11/26/1996|00400||7.6||||
0550421|11/26/1996|00480||11.5||||
0550422|11/26/1996|00010||13.4||||
0550422|11/26/1996|00094||19492||||
0550422|11/26/1996|00300||8.5||||
0550422|11/26/1996|00400||7.6||||
0550422|11/26/1996|00480||11.6||||
0550423|11/26/1996|00010||13.3||||
0550423|11/26/1996|00094||20000||||
0550423|11/26/1996|00300||8.4||||
0550423|11/26/1996|00400||7.6||||
0550423|11/26/1996|00480||11.9||||
0550425|11/26/1996|00010||13.2||||
0550425|11/26/1996|00094||20500||||
0550425|11/26/1996|00300||8.4||||
0550425|11/26/1996|00400||7.7||||
0550425|11/26/1996|00480||12.2||||
0550426|11/26/1996|00010||13.3||||
0550426|11/26/1996|00094||21220||||
0550426|11/26/1996|00300||8.3||||
0550426|11/26/1996|00400||7.7||||
0550426|11/26/1996|00480||12.7||||
0550427|11/26/1996|00010||13.3||||
0550427|11/26/1996|00094||21378||||
0550427|11/26/1996|00300||8.3||||
0550427|11/26/1996|00400||7.7||||
0550427|11/26/1996|00480||12.8||||
0550428|11/26/1996|00010||13.3||||
0550428|11/26/1996|00094||21896||||
0550428|11/26/1996|00300||8.3||||
0550428|11/26/1996|00400||7.7||||
0550428|11/26/1996|00480||13.1||||
0550429|11/26/1996|00010||13.9||||
0550429|11/26/1996|00094||24133||||
0550429|11/26/1996|00300||8.2||||
0550429|11/26/1996|00400||7.8||||
0550429|11/26/1996|00480||15||||
0550430|11/26/1996|00010||14.6||||
0550430|11/26/1996|00094||28187||||
0550430|11/26/1996|00300||7.8||||
0550430|11/26/1996|00400||7.9||||
0550430|11/26/1996|00480||17.4||||
0550431|11/26/1996|00010||15.1||||
0550431|11/26/1996|00094||30056||||
0550431|11/26/1996|00300||7.6||||
0550431|11/26/1996|00400||7.9||||
0550431|11/26/1996|00480||18.5||||
0550432|11/26/1996|00010||15.5||||
0550432|11/26/1996|00094||32800||||
0550432|11/26/1996|00300||7.4||||
0550432|11/26/1996|00400||7.9||||
0550432|11/26/1996|00480||20.2||||
0550433|11/26/1996|00010||16.1||||
0550433|11/26/1996|00094||35350||||
0550433|11/26/1996|00300||7.2||||
0550433|11/26/1996|00400||7.9||||
0550433|11/26/1996|00480||22.6||||
0550434|11/26/1996|00010||16.7||||
0550434|11/26/1996|00094||39800||||
0550434|11/26/1996|00300||6.9||||
0550434|11/26/1996|00400||8||||
0550434|11/26/1996|00480||25.6||||
0550435|11/26/1996|00010||16.5||||
0550435|11/26/1996|00094||40180||||
0550435|11/26/1996|00300||6.8||||
0550435|11/26/1996|00400||8||||
0550435|11/26/1996|00480||25.7||||
R172260|11/26/1996|00010||13.4||||
R172260|11/26/1996|00078||0.53||||
R172260|11/26/1996|00094||19305||||
R172260|11/26/1996|00300||8.7||||
R172260|11/26/1996|00400||7.6||||
R172260|11/26/1996|00480||11.5||||
R172260|11/26/1996|31616||3||||
R172260|11/26/1996|72053||2||||
H041242|12/11/1996|00010||20||||
H041242|12/11/1996|00480||27||||
H041242|12/11/1996|79835||2||||
