
Search Parameters:State in (AS)	
Data Group	Sampling Year	Station Name	Sampling Collection Date	Latitude Decimal Degrees	Longitude Decimal Degrees	Water Column Sampled	Water Measurement Name	Value	Units	Detection Limit Concentration	Collection Depth	Depth Units	Collection Property	Method Used	QA Code	
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Bottom	Ambient photosynthetically active radiation	1607.0	µE/m2/s		20.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Bottom	Dissolved oxygen	6.5	mg/L		20.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Bottom	Salinity	35.8	ppt		20.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Bottom	Temperature	29.6	deg C		20.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Bottom	Water column photosynthetically active radiation	207.0	µE/m2/s		20.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Bottom	pH	7.9	pH units		20.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water1	Ambient photosynthetically active radiation	1313.5	µE/m2/s		1.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water1	Dissolved oxygen	6.65	mg/L		1.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water1	Salinity	35.75	ppt		1.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water1	Secchi depth	15.0	m		15.0	m		Secchi disk		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water1	Temperature	29.65	deg C		1.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water1	Water column photosynthetically active radiation	626.5	µE/m2/s		1.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water1	pH	7.85	pH units		1.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water2	Ambient photosynthetically active radiation	1366.0	µE/m2/s		2.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water2	Dissolved oxygen	6.55	mg/L		2.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water2	Salinity	35.8	ppt		2.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water2	Temperature	29.6	deg C		2.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water2	Water column photosynthetically active radiation	648.5	µE/m2/s		2.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water2	pH	7.85	pH units		2.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water3	Ambient photosynthetically active radiation	1510.5	µE/m2/s		3.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water3	Dissolved oxygen	6.6	mg/L		3.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water3	Salinity	35.8	ppt		3.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water3	Temperature	29.6	deg C		3.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water3	Water column photosynthetically active radiation	753.0	µE/m2/s		3.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water3	pH	7.9	pH units		3.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water4	Ambient photosynthetically active radiation	1453.5	µE/m2/s		4.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water4	Dissolved oxygen	6.65	mg/L		4.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water4	Salinity	35.8	ppt		4.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water4	Temperature	29.6	deg C		4.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water4	Water column photosynthetically active radiation	545.0	µE/m2/s		4.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water4	pH	7.9	pH units		4.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water5	Ambient photosynthetically active radiation	1409.0	µE/m2/s		5.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water5	Dissolved oxygen	6.6	mg/L		5.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water5	Salinity	35.8	ppt		5.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water5	Temperature	29.6	deg C		5.0	m		Hydrolab/YSI		
